snapshot_time,match_date,home,away,side,odds
2026-06-14T14:12:48+00:00,2026-06-14,Netherlands,Japan,away,3.75
2026-06-14T14:12:48+00:00,2026-06-14,Ivory Coast,Ecuador,away,2.6
2026-06-14T14:12:48+00:00,2026-06-15,Spain,Cape Verde,home,1.095
2026-06-14T14:12:48+00:00,2026-06-14,Germany,Curaçao,home,1.04
2026-06-14T14:12:48+00:00,2026-06-14,Ivory Coast,Ecuador,under25,1.405
2026-06-14T14:12:48+00:00,2026-06-15,Saudi Arabia,Uruguay,under25,1.8
2026-06-14T14:12:48+00:00,2026-06-15,Belgium,Egypt,under25,1.825
2026-06-14T14:12:48+00:00,2026-06-14,Sweden,Tunisia,under25,1.7
2026-06-14T14:12:48+00:00,2026-06-15,Iran,New Zealand,under25,1.58
2026-06-14T14:12:48+00:00,2026-06-14,Netherlands,Japan,under25,1.795
2026-06-14T14:12:48+00:00,2026-06-15,Iran,New Zealand,home,1.83
2026-06-14T22:08:11+00:00,2026-06-14,Netherlands,Japan,away,18.0
2026-06-14T22:08:11+00:00,2026-06-14,Ivory Coast,Ecuador,away,2.495
2026-06-14T22:08:11+00:00,2026-06-15,Spain,Cape Verde,home,1.09
2026-06-14T22:08:11+00:00,2026-06-14,Ivory Coast,Ecuador,under25,1.42
2026-06-14T22:08:11+00:00,2026-06-15,Saudi Arabia,Uruguay,under25,1.79
2026-06-14T22:08:11+00:00,2026-06-15,Belgium,Egypt,under25,1.83
2026-06-14T22:08:11+00:00,2026-06-14,Sweden,Tunisia,under25,1.7
2026-06-14T22:08:11+00:00,2026-06-15,Iran,New Zealand,under25,1.57
2026-06-14T22:08:11+00:00,2026-06-15,Iran,New Zealand,home,1.9
2026-06-14T22:08:11+00:00,2026-06-16,France,Senegal,under25,1.91
2026-06-14T22:08:11+00:00,2026-06-16,Iraq,Norway,under25,2.4
2026-06-14T22:08:11+00:00,2026-06-16,Austria,Jordan,under25,2.2
2026-06-14T22:08:11+00:00,2026-06-16,Argentina,Algeria,under25,1.855
2026-06-15T06:12:05+00:00,2026-06-15,Spain,Cape Verde,home,1.08
2026-06-15T06:12:05+00:00,2026-06-15,Saudi Arabia,Uruguay,under25,1.74
2026-06-15T06:12:05+00:00,2026-06-15,Belgium,Egypt,under25,1.85
2026-06-15T06:12:05+00:00,2026-06-15,Iran,New Zealand,under25,1.56
2026-06-15T06:12:05+00:00,2026-06-15,Iran,New Zealand,home,1.92
2026-06-15T06:12:05+00:00,2026-06-16,France,Senegal,under25,1.905
2026-06-15T06:12:05+00:00,2026-06-16,Iraq,Norway,under25,2.4
2026-06-15T06:12:05+00:00,2026-06-16,Austria,Jordan,under25,2.2
2026-06-15T06:12:05+00:00,2026-06-16,Argentina,Algeria,under25,1.85
2026-06-15T11:19:17+00:00,2026-06-15,Spain,Cape Verde,home,1.07
2026-06-15T11:19:17+00:00,2026-06-15,Saudi Arabia,Uruguay,under25,1.745
2026-06-15T11:19:17+00:00,2026-06-15,Belgium,Egypt,under25,1.87
2026-06-15T11:19:17+00:00,2026-06-15,Iran,New Zealand,under25,1.55
2026-06-15T11:19:17+00:00,2026-06-15,Iran,New Zealand,home,1.92
2026-06-15T11:19:17+00:00,2026-06-16,France,Senegal,under25,1.92
2026-06-15T11:19:17+00:00,2026-06-16,Iraq,Norway,under25,2.41
2026-06-15T11:19:17+00:00,2026-06-16,Austria,Jordan,under25,2.22
2026-06-15T11:19:17+00:00,2026-06-16,Argentina,Algeria,under25,1.87
2026-06-15T11:19:17+00:00,2026-06-17,Uzbekistan,Colombia,under25,1.835
2026-06-15T11:19:17+00:00,2026-06-17,England,Croatia,under25,1.705
2026-06-15T11:19:17+00:00,2026-06-17,Portugal,DR Congo,under25,2.14
2026-06-15T11:19:17+00:00,2026-06-17,Ghana,Panama,away,3.47
2026-06-15T11:24:17+00:00,2026-06-15,Spain,Cape Verde,home,1.07
2026-06-15T11:24:17+00:00,2026-06-15,Saudi Arabia,Uruguay,under25,1.725
2026-06-15T11:24:17+00:00,2026-06-15,Belgium,Egypt,under25,1.855
2026-06-15T11:24:17+00:00,2026-06-15,Iran,New Zealand,under25,1.55
2026-06-15T11:24:17+00:00,2026-06-15,Iran,New Zealand,home,1.92
2026-06-15T11:24:17+00:00,2026-06-16,France,Senegal,under25,1.92
2026-06-15T11:24:17+00:00,2026-06-16,Iraq,Norway,under25,2.41
